Time,GSR
519003,755
519013,760
519023,755
519033,760
519043,756
519053,760
519063,755
519073,761
519084,759
519094,759
519104,754
519123,753
519127,755
519135,760
519145,754
519155,760
519165,754
519175,760
519185,754
519195,760
519205,754
519215,760
519225,754
519235,760
519245,754
519255,760
519265,754
519275,760
519285,754
519296,759
519305,754
519315,760
519325,754
519335,759
519345,754
519355,760
519365,754
519375,759
519385,754
519395,760
519405,754
519415,759
519425,754
519435,760
519445,754
519455,759
519465,754
519475,760
519485,754
519495,759
519505,754
519515,760
519525,754
519535,759
519545,754
519555,760
519565,754
519575,759
519585,755
519596,759
519606,755
519616,759
519626,755
519636,759
519646,755
519656,759
519666,755
519676,759
519686,755
519696,759
519715,758
519718,758
519727,755
519737,758
519747,756
519757,758
519767,755
519777,759
519787,755
519797,758
519808,756
519817,759
519827,755
519837,758
519847,756
519857,759
519867,755
519877,758
519887,756
519897,759
519907,755
519917,758
519927,757
519937,759
519947,756
519957,758
519967,757
519977,758
519987,756
519997,758
520007,757
520017,758
520027,756
520037,758
520047,757
520057,758
520067,756
520077,758
520087,757
520097,758
520108,758
520118,757
520128,758
520138,757
520148,758
520158,757
520168,758
520178,757
520188,758
520198,757
520208,758
520218,757
520228,758
520238,757
520248,758
520258,757
520268,758
520288,758
520291,761
520300,756
520310,760
520321,755
520331,760
520341,755
520351,760
520361,754
520371,760
520381,755
520391,760
520401,755
520411,760
520421,755
520431,760
520441,754
520451,760
520461,755
520471,760
520481,754
520492,760
520502,754
520512,760
520522,754
520532,760
520542,754
520552,760
520562,754
520572,760
520582,754
520592,760
520602,754
520612,760
520622,754
520632,760
520642,754
520652,760
520663,754
520673,759
520683,754
520693,759
520704,755
520713,759
520723,754
520733,759
520743,755
520753,759
520763,755
520773,759
520783,755
520793,759
520803,755
520813,760
520823,755
520833,760
520852,759
520855,759
520864,755
520875,759
520884,755
520894,759
520904,755
520914,759
520924,755
520934,759
520944,755
520954,759
520964,755
520974,759
520984,755
520994,759
521004,755
521014,759
521024,755
521034,759
521044,755
521054,759
521064,755
521074,759
521084,755
521094,759
521104,755
521114,759
521124,755
521134,759
521144,755
521154,759
521164,755
521175,758
521185,756
521195,758
521205,757
521216,757
521225,756
521235,758
521245,757
521255,757
521265,756
521275,758
521285,757
521295,758
521305,756
521315,758
521325,757
521335,758
521345,756
521355,758
521365,757
521375,758
521385,758
521395,758
521414,757
521417,758
521426,759
521436,757
521446,758
521456,757
521466,759
521476,757
521486,758
521496,757
521506,759
521516,757
521526,758
521536,757
521546,759
521556,757
521566,758
521576,757
521586,759
521596,757
521606,758
521616,757
521626,759
521636,757
521646,758
521656,757
521666,759
521676,757
521687,759
521697,756
521707,760
521717,756
521728,760
521737,756
521747,760
521757,756
521767,760
521777,756
521787,760
521797,756
521807,760
521817,756
521827,760
521837,756
521847,760
521857,756
521867,760
521877,756
521887,760
521897,755
521907,760
521917,756
521927,760
521937,756
521947,760
521957,756
521967,760
521987,759
521990,761
521999,755
522009,760
522019,754
522029,760
522039,754
522049,760
522059,754
522070,760
522079,754
522089,760
522099,754
522109,760
522119,754
522129,760
522139,754
522149,760
522159,754
522169,760
522179,754
522189,760
522199,754
522209,760
522219,754
522229,760
522240,754
522249,760
522259,754
522269,760
522279,754
522289,760
522299,754
522309,760
522319,754
522329,760
522339,754
522349,760
522359,754
522369,760
522379,754
522389,760
522399,754
522409,760
522419,754
522429,760
522439,754
522449,760
522459,754
522469,760
522479,754
522489,760
522499,754
522509,760
522519,754
522529,760
522540,755
522559,754
522562,757
522571,759
522582,755
522591,759
522601,755
522611,759
522621,755
522631,759
522641,755
522651,759
522661,755
522671,759
522681,755
522691,759
522701,755
522711,759
522721,755
522731,759
522741,755
522752,758
522761,755
522771,759
522781,755
522791,759
522801,755
522811,759
522821,755
522831,758
522841,755
522851,759
522861,755
522871,758
522881,755
522891,759
522901,755
522911,758
522921,756
522931,759
522941,755
522951,758
522961,756
522971,759
522981,756
522991,758
523001,756
523011,759
523021,756
523031,758
523041,756
523052,758
523062,757
523072,757
523082,758
523092,758
523102,757
523121,757
523124,759
523133,757
523143,758
523153,757
523163,759
523173,757
523183,758
523193,757
523203,759
523213,757
523223,758
523233,757
523243,759
523253,757
523264,759
523273,757
523283,759
523293,757
523303,759
523313,757
523323,759
523333,757
523343,759
523353,757
523363,759
523373,757
523383,759
523393,757
523403,759
523413,757
523423,759
523433,756
523443,759
523453,757
523463,759
523473,756
523483,759
523493,757
523503,759
523513,756
523523,759
523533,757
523543,759
523553,756
523564,759
523574,756
523584,760
523594,756
523604,760
523614,756
523624,760
523634,756
523644,760
523654,756
523664,760
523674,756
523694,754
523697,754
523706,760
523716,754
523726,760
523736,754
523746,760
523756,754
523766,760
523777,754
523787,760
523797,754
523807,759
523817,755
523827,760
523837,754
523847,759
523857,755
523867,760
523877,754
523887,759
523897,755
523907,760
523917,755
523927,759
523937,755
523948,759
523958,755
523968,759
523978,755
523988,759
523998,755
524008,759
524018,755
524028,759
524038,755
524048,759
524058,755
524068,759
524078,755
524088,759
524098,755
524108,759
524119,755
524129,758
524139,756
524149,758
524160,757
524169,758
524179,756
524189,758
524199,757
524209,759
524219,756
524229,758
524239,757
524249,759
524268,758
524271,757
524280,758
524290,758
524300,758
524310,757
524320,758
524331,757
524340,758
524350,757
524360,758
524370,757
524380,758
524390,757
524400,758
524410,757
524420,758
